@relation movers
@attribute party_id real
@attribute session_count real
@attribute event_count real
@attribute homepage {t, f}
@attribute tv_home_theater {t, f}
@attribute computer_tables {t, f}
@attribute cell_phones {t, f}
@attribute cameras_camcorders {t, f}
@attribute audio_mp3 {t, f}
@attribute car_electronics_gps {t, f}
@attribute video_games_movies_music {t, f}
@attribute health_fitness {t, f}
@attribute home_office {t, f}
@attribute small_appliances {t, f}
@attribute appliances {t, f}
@attribute clearance {t, f}
@attribute searched {t, f}
@attribute list_page {t, f}
@attribute pdp {t, f}
@attribute cart_view {t, f}
@attribute conversion {t, f}
@attribute movers {t, f}
@data
532309991,1,26,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,t,f,?
532493429,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
532512141,1,15,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
532764861,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,?
532764861,1,138,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,f,?
533151579,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,?
533255423,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
533307966,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
534349574,1,9,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
534384350,1,9,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,?
534681465,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
535203353,1,8,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,?
535573141,1,8,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,t,t,?
536627235,1,6,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
5369880,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
537130839,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
537130839,1,5,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,?
